Measure,Location,Indicator,Time,Indicator_Status,Indicator_Value,Amount,Unemployment_Rate
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2016Q1,72,Accommodation and Food Services,1522
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2015Q1,72,Accommodation and Food Services,1514
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2018Q1,72,Accommodation and Food Services,1674
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2019Q1,72,Accommodation and Food Services,1723
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2017Q1,72,Accommodation and Food Services,1657
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2020Q1,72,Accommodation and Food Services,1900
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2015Q2,72,Accommodation and Food Services,1633
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2021Q1,72,Accommodation and Food Services,1841
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2016Q2,72,Accommodation and Food Services,1625
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2017Q2,72,Accommodation and Food Services,1718
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2018Q2,72,Accommodation and Food Services,1755
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2019Q2,72,Accommodation and Food Services,1839
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2020Q2,72,Accommodation and Food Services,1461
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2021Q2,72,Accommodation and Food Services,2175
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2015Q3,72,Accommodation and Food Services,1641
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2016Q3,72,Accommodation and Food Services,1759
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2017Q3,72,Accommodation and Food Services,1747
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2018Q3,72,Accommodation and Food Services,1793
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2019Q3,72,Accommodation and Food Services,1865
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2020Q3,72,Accommodation and Food Services,1989
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2021Q3,72,Accommodation and Food Services,2252
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2016Q4,72,Accommodation and Food Services,1713
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2015Q4,72,Accommodation and Food Services,1710
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2017Q4,72,Accommodation and Food Services,1741
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2018Q4,72,Accommodation and Food Services,1819
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2019Q4,72,Accommodation and Food Services,1898
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2020Q4,72,Accommodation and Food Services,2014
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2021Q4,72,Accommodation and Food Services,0
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2015Q1,72,Accommodation and Food Services,-112
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q1,72,Accommodation and Food Services,253
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q1,72,Accommodation and Food Services,277
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q1,72,Accommodation and Food Services,181
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2019Q1,72,Accommodation and Food Services,45
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2020Q1,72,Accommodation and Food Services,-4665
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2021Q1,72,Accommodation and Food Services,268
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2015Q2,72,Accommodation and Food Services,988
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q2,72,Accommodation and Food Services,702
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q2,72,Accommodation and Food Services,815
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2019Q2,72,Accommodation and Food Services,639
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q2,72,Accommodation and Food Services,721
